id_empresa,nome_fantasia,regiao_administrativa_df,setor,porte,genero_proprietario,idade_proprietario,area_desafio_mapeado,solucao_proposta,data_entrada_programa,data_fim_ciclo,pessoas_ocupadas_inicial,faturamento_bruto_mensal_inicial,custos_variaveis_mensal_inicial,produtividade_inicial,pessoas_ocupadas_final,faturamento_bruto_mensal_final,custos_variaveis_mensal_final,produtividade_final,percentual_implementacao_solucao,nps_atendimento
29,Ótica Meridiano,Riacho Fundo,Comércio,ME,Masculino,29,Pessoas,Definição de rotinas e organograma da equipe,2024-12-24,2025-06-24,6,11358.02,7341.46,669.43,6,14296.68,8899.94,899.46,65.9,9
30,Estúdio do Planalto,Plano Piloto,Serviço,ME,Feminino,65,Comercial,Treinamento de técnicas de vendas para a equipe,2025-03-11,2025-09-09,4,5110.8,1981.58,782.3,4,6444.02,2247.19,1049.21,76.0,6
31,Indústria Candango,Águas Claras,Indústria,EPP,Masculino,42,Marketing,Estruturação de presença em redes sociais,2025-02-17,2025-08-18,87,44962.09,28302.54,191.49,87,62130.19,34561.51,316.88,98.8,10
32,Assessoria Ipê Amarelo,Águas Claras,Serviço,ME,Feminino,39,Marketing,Consultoria em posicionamento de marca,2026-01-03,2026-07-04,4,13683.59,4627.52,2264.02,3,10139.61,3873.13,2088.83,20.8,6
33,Empório Candango,Taguatinga,Comércio,EPP,Masculino,36,Comercial,Criação de script de atendimento comercial,2024-08-29,2025-02-27,34,78347.12,54958.93,687.89,34,81997.77,57532.09,719.58,49.9,6
34,Consultoria Meridiano,Santa Maria,Serviço,ME,Masculino,30,Marketing,Plano de captação de clientes via marketing local,2025-02-10,2025-08-11,5,3008.2,1283.02,345.04,5,2766.57,1287.03,295.91,24.2,6
35,Salão Ipê Amarelo,Águas Claras,Serviço,ME,Feminino,35,Pessoas,Definição de rotinas e organograma da equipe,2024-11-02,2025-05-03,7,7541.31,3076.17,637.88,7,8097.8,2969.13,732.67,77.5,7
36,Distribuidora Buriti,Ceilândia,Comércio,EPP,Feminino,33,Marketing,Estruturação de presença em redes sociais,2025-06-01,2025-11-30,30,40578.15,22517.27,602.03,31,54021.25,27562.25,853.52,79.8,9
37,Papelaria Ipê Amarelo,Núcleo Bandeirante,Comércio,ME,Masculino,32,Marketing,Plano de captação de clientes via marketing local,2025-09-20,2026-03-21,5,7837.34,4310.83,705.3,5,8458.54,4477.43,796.22,63.8,7
38,Escritório do Cerrado,Sobradinho,Serviço,ME,Feminino,37,Marketing,Estruturação de presença em redes sociais,2025-12-23,2026-06-23,4,10673.05,4553.04,1530.0,4,7492.07,3475.89,1004.05,25.1,5
39,Cerâmica Buriti,Santa Maria,Indústria,EPP,Feminino,37,Marketing,Plano de captação de clientes via marketing local,2025-02-22,2025-08-23,43,102599.95,61135.48,964.29,43,91727.81,57353.97,799.39,30.4,5
40,Pet Shop Meridiano,São Sebastião,Comércio,ME,Feminino,55,Comercial,Plano de expansão de canais de venda,2024-11-09,2025-05-10,5,4309.17,3195.8,222.68,5,5202.84,3739.94,292.58,65.2,9
41,Oficina Meridiano,Riacho Fundo,Serviço,ME,Feminino,28,Marketing,Consultoria em posicionamento de marca,2026-01-09,2026-07-10,1,2458.09,758.31,1699.78,1,2591.24,785.39,1805.84,53.6,8
42,Oficina Buriti,Plano Piloto,Serviço,EPP,Masculino,35,Comercial,Consultoria em negociação com fornecedores e clientes,2024-07-27,2025-01-25,23,56192.12,22903.55,1447.33,23,64898.69,23502.65,1799.83,80.3,10
43,Oficina Cristal,Recanto das Emas,Serviço,ME,Masculino,34,Operações,Mapeamento e otimização de processos internos,2024-08-20,2025-02-18,1,8865.84,3637.69,5228.14,1,8262.7,3750.89,4511.81,20.9,7
44,Papelaria Candango,Recanto das Emas,Comércio,ME,Feminino,26,Pessoas,"Plano de cargos, salários e retenção de talentos",2026-01-06,2026-07-07,3,10971.49,7915.55,1018.65,3,12338.57,8470.62,1289.32,73.3,7
45,Oficina Sol Nascente,Samambaia,Serviço,ME,Masculino,51,Pessoas,Capacitação em liderança para o(a) proprietário(a),2025-11-23,2026-05-24,4,14642.3,5687.15,2238.79,5,17324.73,6398.99,2185.15,62.7,7
46,Escritório Candango,Taguatinga,Serviço,ME,Feminino,30,Operações,Implementação de controle de estoque,2025-05-08,2025-11-06,1,6451.49,1791.33,4660.16,1,6254.21,1667.13,4587.07,57.4,8
47,Empório Meridiano,Ceilândia,Comércio,ME,Feminino,37,Marketing,Plano de captação de clientes via marketing local,2024-12-18,2025-06-18,3,12741.32,8742.95,1332.79,4,16085.82,10355.06,1432.69,78.3,10
48,Manufatura do Planalto,Recanto das Emas,Indústria,ME,Masculino,43,Operações,Plano de melhoria de layout e fluxo logístico/produtivo,2026-01-11,2026-07-12,13,10707.09,6112.64,353.42,13,12211.49,6720.55,422.38,63.7,7
49,Pet Shop Ipê Amarelo,Sobradinho,Comércio,ME,Feminino,18,Finanças,Consultoria em precificação e formação de preço de venda,2026-01-06,2026-07-07,9,17687.97,10908.78,753.24,9,21326.11,12669.51,961.84,65.1,9
50,Manufatura Candango,Santa Maria,Indústria,ME,Masculino,72,Comercial,Consultoria em negociação com fornecedores e clientes,2025-11-11,2026-05-12,12,7738.51,3805.2,327.78,13,9197.12,4383.1,370.31,60.1,6
51,Loja Lago Sul,Plano Piloto,Comércio,ME,Masculino,42,Finanças,Capacitação em gestão de capital de giro,2025-09-14,2026-03-15,7,2833.47,2059.99,110.5,7,3111.44,2168.27,134.74,70.1,8
52,Armarinhos do Cerrado,Taguatinga,Comércio,ME,Masculino,51,Finanças,Capacitação em gestão de capital de giro,2025-05-29,2025-11-27,7,7681.74,4443.03,462.67,7,8708.16,4937.43,538.68,57.6,7
53,Loja Buriti,Águas Claras,Comércio,ME,Masculino,43,Pessoas,Estruturação de processo seletivo e onboarding,2025-01-13,2025-07-14,9,8436.03,5352.15,342.65,9,6024.02,4028.8,221.69,27.1,4
54,Studio Meridiano,Gama,Serviço,ME,Feminino,63,Operações,Implementação de controle de estoque,2025-03-15,2025-09-13,9,10917.4,4089.22,758.69,9,7713.83,3274.98,493.21,16.5,5
55,Assessoria do Cerrado,Vicente Pires,Serviço,ME,Feminino,27,Comercial,Treinamento de técnicas de vendas para a equipe,2025-04-27,2025-10-26,2,3189.4,1417.24,886.08,2,2503.67,1219.56,642.05,21.5,6
56,Salão Bandeirante,Riacho Fundo,Serviço,ME,Feminino,36,Finanças,Implementação de fluxo de caixa semanal,2025-03-20,2025-09-18,5,6634.04,2548.77,817.06,5,6653.34,2579.14,814.84,47.7,6
57,Ótica Candango,Vicente Pires,Comércio,EPP,Masculino,54,Marketing,Criação de plano de marketing digital,2025-11-08,2026-05-09,46,51170.94,31264.2,432.76,46,55624.02,34493.88,459.35,43.9,6
58,Studio das Águas Claras,São Sebastião,Serviço,ME,Masculino,29,Comercial,Criação de script de atendimento comercial,2024-09-10,2025-03-11,8,13467.83,3530.35,1242.18,9,18726.65,4133.58,1621.45,77.6,9
59,Estúdio Ipê Amarelo,Núcleo Bandeirante,Serviço,ME,Feminino,43,Operações,Mapeamento e otimização de processos internos,2024-07-21,2025-01-19,5,7515.67,2356.47,1031.84,5,6491.03,2178.33,862.54,35.3,5
60,Consultoria JK,Águas Claras,Serviço,EPP,Feminino,61,Pessoas,"Plano de cargos, salários e retenção de talentos",2025-03-04,2025-09-02,27,60555.82,18684.94,1550.77,27,73841.84,20391.97,1979.63,71.6,10
61,Escritório do Planalto,Ceilândia,Serviço,ME,Feminino,44,Comercial,Consultoria em negociação com fornecedores e clientes,2024-10-05,2025-04-05,1,6659.21,2755.69,3903.52,1,4917.61,2280.86,2636.74,6.1,3
62,Assessoria Alvorada,Ceilândia,Serviço,ME,Masculino,53,Finanças,Capacitação em gestão de capital de giro,2025-10-15,2026-04-15,5,25109.28,8168.47,3388.16,5,23221.88,8320.79,2980.22,28.0,6
63,Mercadinho Talento DF,Plano Piloto,Comércio,ME,Masculino,38,Finanças,Capacitação em gestão de capital de giro,2025-10-31,2026-05-01,5,4209.9,2398.34,362.31,5,3899.53,2309.26,318.05,35.0,6
64,Boutique Talento DF,Samambaia,Comércio,ME,Masculino,49,Finanças,Implementação de fluxo de caixa semanal,2026-01-25,2026-07-26,6,16765.69,12138.28,771.23,6,20377.66,13934.15,1073.92,76.8,9
65,Espaço Bandeirante,Taguatinga,Serviço,ME,Masculino,52,Comercial,Plano de expansão de canais de venda,2025-01-22,2025-07-23,5,14763.99,3744.31,2203.94,5,16852.34,3879.59,2594.55,65.6,9
66,Clínica Cristal,Vicente Pires,Serviço,ME,Feminino,37,Finanças,Plano de redução e renegociação de custos fixos,2026-01-07,2026-07-08,2,6989.03,1751.46,2618.78,2,8734.06,1742.02,3496.02,84.1,8
67,Estúdio Cristal,Taguatinga,Serviço,ME,Masculino,25,Finanças,Implementação de fluxo de caixa semanal,2024-08-01,2025-01-30,9,7843.67,2705.68,570.89,9,7304.54,2606.26,522.03,42.1,6
68,Pet Shop Brasília,Vicente Pires,Comércio,EPP,Masculino,20,Finanças,Capacitação em gestão de capital de giro,2026-01-08,2026-07-09,18,129241.12,72871.84,3131.63,18,127057.76,71812.29,3069.19,49.1,6
69,Mercearia Buriti,Santa Maria,Comércio,EPP,Feminino,40,Finanças,Separação financeira entre pessoa física e jurídica,2024-10-29,2025-04-29,25,30001.0,17563.2,497.51,25,35067.92,19351.19,628.67,72.4,10
70,Espaço Meridiano,Recanto das Emas,Serviço,ME,Masculino,46,Operações,Plano de melhoria de layout e fluxo logístico/produtivo,2024-06-12,2024-12-11,5,7826.9,3499.07,865.57,5,7347.54,3270.44,815.42,51.3,7
71,Loja Talento DF,Guará,Comércio,ME,Feminino,38,Finanças,Implementação de fluxo de caixa semanal,2025-10-17,2026-04-17,3,8922.8,6414.36,836.15,2,7898.43,5937.43,980.5,28.1,3
72,Consultoria Sol Nascente,Plano Piloto,Serviço,ME,Masculino,34,Operações,Consultoria em gestão da qualidade,2025-04-11,2025-10-10,1,5599.72,2255.61,3344.11,1,4746.74,2092.16,2654.58,24.7,5
73,Escritório Lago Sul,Recanto das Emas,Serviço,EPP,Masculino,25,Finanças,Implementação de fluxo de caixa semanal,2025-02-07,2025-08-08,34,149208.76,57319.83,2702.62,34,138076.14,59256.56,2318.22,20.0,7
74,Manufatura Lago Sul,Taguatinga,Indústria,ME,Masculino,35,Finanças,Capacitação em gestão de capital de giro,2024-10-01,2025-04-01,5,6187.63,2843.61,668.81,5,7557.11,3188.44,873.73,75.1,9
75,Estúdio Talento DF,Vicente Pires,Serviço,ME,Masculino,49,Finanças,Plano de redução e renegociação de custos fixos,2025-02-09,2025-08-10,8,6464.38,2696.82,470.94,8,7509.89,2825.46,585.55,77.3,6
76,Estúdio Lago Sul,Samambaia,Serviço,ME,Feminino,25,Marketing,Criação de plano de marketing digital,2025-06-11,2025-12-10,8,6589.4,2268.32,540.14,8,8245.15,2342.35,737.85,90.1,9
77,Espaço Sol Nascente,Samambaia,Serviço,ME,Masculino,35,Finanças,Consultoria em precificação e formação de preço de venda,2024-08-27,2025-02-25,4,6639.18,1790.35,1212.21,4,6213.96,1778.21,1108.94,39.0,6
78,Distribuidora Talento DF,Guará,Comércio,ME,Masculino,46,Comercial,Implementação de funil de vendas estruturado,2025-12-29,2026-06-29,5,2085.37,1272.39,162.6,5,2220.56,1355.88,172.94,49.7,7
79,Cerâmica do Planalto,Recanto das Emas,Indústria,ME,Masculino,57,Finanças,Implementação de fluxo de caixa semanal,2025-08-16,2026-02-14,19,8482.72,4668.83,200.73,19,9388.25,4996.83,231.13,62.1,9
80,Alimentos Meridiano,Águas Claras,Indústria,ME,Masculino,33,Pessoas,Estruturação de processo seletivo e onboarding,2025-11-17,2026-05-18,1,5829.67,2639.32,3190.35,1,5119.7,2347.84,2771.86,46.1,6
81,Salão Lago Sul,Recanto das Emas,Serviço,EPP,Feminino,57,Finanças,Capacitação em gestão de capital de giro,2024-06-28,2024-12-27,25,101741.23,30571.6,2846.79,25,109626.99,30573.2,3162.15,64.4,7
82,Consultoria Cristal,Taguatinga,Serviço,ME,Masculino,40,Comercial,Consultoria em negociação com fornecedores e clientes,2025-11-11,2026-05-12,1,2610.01,827.86,1782.16,1,2242.43,783.58,1458.85,28.5,6
83,Distribuidora Ipê Amarelo,Guará,Comércio,ME,Masculino,52,Operações,Padronização de processos operacionais,2025-11-11,2026-05-12,2,6484.48,4167.95,1158.26,2,6027.11,4061.11,983.0,29.3,5
84,Espaço Cristal,Samambaia,Serviço,ME,Feminino,22,Finanças,Capacitação em gestão de capital de giro,2025-01-10,2025-07-11,9,6365.34,1593.86,530.16,8,5602.17,1426.29,521.98,47.2,5
85,Distribuidora JK,Samambaia,Comércio,ME,Masculino,41,Finanças,Plano de redução e renegociação de custos fixos,2025-05-14,2025-11-12,1,17194.48,11401.46,5793.02,1,11670.99,8322.45,3348.54,0.0,3
86,Mercadinho Bandeirante,Taguatinga,Comércio,ME,Masculino,38,Operações,Mapeamento e otimização de processos internos,2025-04-02,2025-10-01,9,5788.68,3412.58,264.01,9,6638.61,3769.25,318.82,64.5,9
87,Clínica Bandeirante,Plano Piloto,Serviço,ME,Masculino,33,Finanças,Plano de redução e renegociação de custos fixos,2025-10-17,2026-04-17,8,11942.65,4412.21,941.3,8,10327.04,4074.02,781.63,33.3,6
88,Empório Buriti,Plano Piloto,Comércio,ME,Masculino,35,Finanças,Implementação de fluxo de caixa semanal,2024-11-19,2025-05-20,6,18340.81,10964.69,1229.35,6,19572.22,11272.23,1383.33,64.6,8
89,Estúdio Sol Nascente,Águas Claras,Serviço,ME,Feminino,36,Comercial,Consultoria em negociação com fornecedores e clientes,2025-12-13,2026-06-13,7,5488.2,1814.09,524.87,7,6372.32,1837.74,647.8,78.1,7
90,Salão do Cerrado,Taguatinga,Serviço,ME,Masculino,43,Finanças,Consultoria em precificação e formação de preço de venda,2025-05-04,2025-11-02,2,7775.23,2913.58,2430.82,3,9473.21,3156.25,2105.65,77.7,7
91,Estúdio Brasília,Taguatinga,Serviço,ME,Feminino,18,Pessoas,Estruturação de processo seletivo e onboarding,2024-06-01,2024-11-30,2,22570.79,8606.57,6982.11,2,27652.53,9901.39,8875.57,65.5,8
92,Clínica Brasília,Gama,Serviço,ME,Masculino,36,Marketing,Estruturação de presença em redes sociais,2024-12-03,2025-06-03,4,9178.16,2350.7,1706.87,4,9491.33,2584.67,1726.66,39.2,6
93,Boutique Buriti,Taguatinga,Comércio,ME,Masculino,26,Marketing,Plano de captação de clientes via marketing local,2024-08-26,2025-02-24,7,10011.07,6577.42,490.52,6,8364.81,5672.72,448.68,35.9,6
94,Mercearia Lago Sul,Guará,Comércio,ME,Masculino,55,Finanças,Capacitação em gestão de capital de giro,2025-10-07,2026-04-07,3,6265.69,4469.5,598.73,3,6535.9,4596.56,646.45,56.7,5
95,Laticínios Cristal,Vicente Pires,Indústria,ME,Masculino,57,Marketing,Desenvolvimento de identidade visual e branding,2025-02-05,2025-08-06,4,12081.46,5935.44,1536.51,4,7852.95,4250.68,900.57,0.0,4
96,Gráfica Sol Nascente,Águas Claras,Indústria,ME,Masculino,30,Marketing,Criação de plano de marketing digital,2025-03-11,2025-09-09,15,7811.96,4346.56,231.03,15,6989.26,3994.7,199.64,39.9,3
97,Espaço Buriti,Riacho Fundo,Serviço,ME,Masculino,31,Finanças,Capacitação em gestão de capital de giro,2024-12-31,2025-07-01,6,2664.94,904.81,293.35,5,2204.17,841.27,272.58,21.9,3
98,Studio Candango,Ceilândia,Serviço,EPP,Masculino,25,Pessoas,Definição de rotinas e organograma da equipe,2025-08-02,2026-01-31,31,59289.58,24900.85,1109.31,31,60161.42,26250.65,1093.9,39.1,6
99,Pet Shop das Águas Claras,Ceilândia,Comércio,EPP,Masculino,44,Marketing,Desenvolvimento de identidade visual e branding,2026-01-27,2026-07-28,26,115008.8,73347.17,1602.37,25,99981.37,64903.17,1403.13,42.4,5
100,Manufatura das Águas Claras,Santa Maria,Indústria,ME,Masculino,56,Operações,Padronização de processos operacionais,2025-11-15,2026-05-16,15,6464.35,4129.22,155.68,14,4800.18,3253.41,110.48,24.0,5
101,Estúdio Meridiano,Santa Maria,Serviço,ME,Feminino,41,Finanças,Capacitação em gestão de capital de giro,2026-01-25,2026-07-26,7,3933.52,1496.65,348.12,7,3359.15,1410.12,278.43,23.8,6
102,Consultoria Lago Sul,São Sebastião,Serviço,ME,Masculino,23,Finanças,Consultoria em precificação e formação de preço de venda,2024-11-30,2025-05-31,4,8557.31,3100.11,1364.3,5,10666.47,3131.43,1507.01,95.8,9
103,Oficina Lago Sul,Ceilândia,Serviço,ME,Masculino,21,Marketing,Criação de plano de marketing digital,2025-07-11,2026-01-09,2,4615.12,1423.23,1595.95,2,4547.93,1435.25,1556.34,45.2,6
104,Academia Sol Nascente,Sobradinho,Serviço,ME,Masculino,29,Operações,Mapeamento e otimização de processos internos,2025-06-15,2025-12-14,8,10658.08,3936.08,840.25,8,13526.02,4425.11,1137.61,78.1,10
105,Papelaria Buriti,Plano Piloto,Comércio,EPP,Masculino,46,Comercial,Plano de expansão de canais de venda,2024-12-02,2025-06-02,15,50248.69,28955.77,1419.53,15,39939.12,23901.54,1069.17,35.2,7
106,Espaço Lago Sul,Samambaia,Serviço,EPP,Feminino,37,Finanças,Capacitação em gestão de capital de giro,2025-10-29,2026-04-29,27,70208.38,23396.86,1733.76,27,74112.6,24019.81,1855.29,56.1,8
107,Ótica Talento DF,Taguatinga,Comércio,ME,Masculino,43,Operações,Consultoria em gestão da qualidade,2025-12-13,2026-06-13,9,8217.78,4987.25,358.95,8,6313.26,4019.88,286.67,30.1,7
108,Armarinhos Talento DF,Núcleo Bandeirante,Comércio,ME,Feminino,28,Finanças,Plano de redução e renegociação de custos fixos,2026-01-01,2026-07-02,4,3783.45,2588.09,298.84,4,4048.02,2798.82,312.3,45.1,6
109,Loja Candango,Ceilândia,Comércio,EPP,Feminino,55,Comercial,Implementação de funil de vendas estruturado,2026-01-24,2026-07-25,43,44547.97,31308.28,307.9,44,53942.27,36098.13,405.55,72.4,7
110,Escritório Sol Nascente,Sobradinho,Serviço,ME,Masculino,32,Marketing,Desenvolvimento de identidade visual e branding,2024-09-08,2025-03-09,5,5953.14,2593.94,671.84,5,4287.63,2048.95,447.73,21.9,3
111,Studio Buriti,Recanto das Emas,Serviço,EPP,Feminino,51,Finanças,Implementação de fluxo de caixa semanal,2024-08-29,2025-02-27,39,102095.22,30058.89,1847.09,39,109573.83,29022.84,2065.41,69.7,9
112,Distribuidora Alvorada,Santa Maria,Comércio,ME,Feminino,56,Finanças,Consultoria em precificação e formação de preço de venda,2025-07-21,2026-01-19,6,11608.98,8439.15,528.31,6,15360.16,10152.3,867.98,94.0,6
113,Empório das Águas Claras,Guará,Comércio,EPP,Masculino,35,Finanças,Plano de redução e renegociação de custos fixos,2025-08-17,2026-02-15,21,40664.44,29245.47,543.76,21,47087.31,33010.1,670.34,62.1,5
114,Consultoria do Cerrado,São Sebastião,Serviço,ME,Masculino,57,Pessoas,Programa de treinamento e desenvolvimento de colaboradores,2025-02-21,2025-08-22,9,15930.53,6730.43,1022.23,9,10354.84,4892.52,606.92,1.8,3
115,Pet Shop Lago Sul,Taguatinga,Comércio,ME,Feminino,25,Comercial,Consultoria em negociação com fornecedores e clientes,2024-09-08,2025-03-09,5,4655.22,3249.79,281.09,5,4758.71,3287.06,294.33,54.9,7
116,Clínica JK,Ceilândia,Serviço,ME,Feminino,41,Marketing,Consultoria em posicionamento de marca,2024-11-22,2025-05-23,5,4141.17,1257.03,576.83,4,3610.58,1158.25,613.08,38.5,6
117,Mercearia Ipê Amarelo,Gama,Comércio,ME,Masculino,26,Pessoas,Estruturação de processo seletivo e onboarding,2024-08-18,2025-02-16,6,25791.18,18713.42,1179.63,7,33361.36,22930.08,1490.18,75.5,7
118,Assessoria Cristal,Plano Piloto,Serviço,ME,Masculino,41,Marketing,Consultoria em posicionamento de marca,2024-09-05,2025-03-06,9,7953.25,2941.98,556.81,8,7139.54,2622.78,564.59,51.7,7
119,Assessoria Bandeirante,Taguatinga,Serviço,EPP,Masculino,26,Marketing,Estruturação de presença em redes sociais,2024-09-23,2025-03-24,44,58328.58,23221.91,797.88,45,85444.4,28147.3,1273.27,95.8,9
120,Clínica Talento DF,Taguatinga,Serviço,ME,Masculino,24,Marketing,Plano de captação de clientes via marketing local,2025-05-24,2025-11-22,4,8451.32,2459.77,1497.89,4,6861.02,2288.16,1143.22,21.7,6
121,Salão Candango,Plano Piloto,Serviço,EPP,Feminino,23,Comercial,Consultoria em negociação com fornecedores e clientes,2025-04-10,2025-10-09,19,87170.93,24537.06,3296.52,18,65344.38,21660.49,2426.88,14.3,3
122,Oficina JK,Ceilândia,Serviço,ME,Masculino,28,Marketing,Consultoria em posicionamento de marca,2024-12-21,2025-06-21,3,5133.6,1567.65,1188.65,4,6210.21,1578.76,1157.86,84.1,8
123,Studio JK,Ceilândia,Serviço,ME,Feminino,39,Pessoas,Definição de rotinas e organograma da equipe,2025-04-28,2025-10-27,3,9102.72,3206.65,1965.36,3,10105.59,3402.29,2234.43,60.4,7
